sku,descripcion,categoria,familia,bidfood,central mayorista,interno,jumbo,otros,min_ext,max_ext,fuente_min,fuente_max,gap_min_pct,gap_max_pct
104501230,AZUCAR MINI ICB 5 g,OTROS ABARROTES,MINI PORCIONES,,,3375.0,,,,,,,,
104510260,TAZA ESPRESSO LAVAZZA,CAFE Y DERIVADOS,ACCESORIOS,,,11591.478696741853,,,,,,,,
104510290,TAZA CAPPUCCINO LAVAZZA,CAFE Y DERIVADOS,ACCESORIOS,,,9216.589861751152,,,,,,,,
104511850,OREGANO 1 kg,CONDIMENTOS,ESPECIAS,,,7650.0,,,,,,,,
104512020,SEMOLA CAROZZI 1 kg,BOLLERIA,HARINAS Y SEMOLAS,,,2166.6666666666665,,2176.470588235294,2176.470588235294,2176.470588235294,otros,otros,0.004524886877828038,0.004524886877828038
104512160,TORTILLAS PANCHO VILLA 28 cm 12 uds.,OTROS ABARROTES,TORTILLAS DE MAIZ,,4771.908763505402,3950.6172839506175,,3309.471936922917,3309.471936922917,4771.908763505402,otros,central mayorista,-0.16228991596638676,0.20788940576230486
104512230,ACEITE OLIVA E/VIRGEN OLITALIA 5 l,ACEITES Y VINAGRES,ACEITES DE OLIVA,,,9100.0,16789.915966386554,,16789.915966386554,16789.915966386554,jumbo,jumbo,0.8450457105919289,0.8450457105919289
104512290,GALLETA CHAMPAÃ‘A COSTA 140 g,OTROS ABARROTES,GALLETAS,,9003.60144057623,8333.333333333334,12545.018007202882,,9003.60144057623,12545.018007202882,central mayorista,jumbo,0.0804321728691475,0.5054021608643458
104512360,COBERTURA MOLDER CHOCOLATE CAROZZI 1 kg,BOLLERIA,INGREDIENTES REPOSTERIA,,,7150.0,,6714.285714285715,6714.285714285715,6714.285714285715,otros,otros,-0.060939060939060874,-0.060939060939060874
104512690,"ACEITE SOYA MULTIPROPOSITO 17,25 l",ACEITES Y VINAGRES,ACEITES VEGETALES,,,2959.697732997481,,,,,,,,
104512950,SALSA QUESO CHEDDAR BOLSA C/DISPEN 4 kg,SALSAS Y ADEREZOS,SALSAS ESPECIALES,,,4718.75,14756.302521008403,5121.1134453781515,5121.1134453781515,14756.302521008403,otros,jumbo,0.08526907451722421,2.1271634481607213
104512990,AZUCAR FLOR CAMSA 1 kg,BOLLERIA,INGREDIENTES REPOSTERIA,,,1700.0,,1504.201680672269,1504.201680672269,1504.201680672269,otros,otros,-0.11517548195748883,-0.11517548195748883
104513000,ARROZ G2 MIRAFLORES NACIONAL 1 kg,OTROS ABARROTES,ARROZ,,,,,2016.8067226890757,2016.8067226890757,2016.8067226890757,otros,otros,,
104514870,ACETO BALSAMICO OLITALIA 5 l,ACEITES Y VINAGRES,ACETOS BALSAMICOS,,,3030.0,,,,,,,,
